id,Answer One,ao,Answer Two,at,size
0,Web development coding,wdc,Web development coding,wdc,5
1,Web development coding,wdc,Web development coding,wdc,5
2,Web development coding,wdc,Web development coding,wdc,5
3,Web development coding,wdc,Software & app development,sad,5
4,Web development coding,wdc,Software & app development,sad,5
5,Web development coding,wdc,Software & app development,sad,5
6,Web development coding,wdc,VR/AR development,vrard,5
7,Web development coding,wdc,VR/AR development,vrard,5
8,Web development coding,wdc,VR/AR development,vrard,5
9,Web development coding,wdc,VR/AR development,vrard,5
10,Web development coding,wdc,VR/AR development,vrard,5
11,Web development coding,wdc,VR/AR development,vrard,5
12,Web development coding,wdc,VR/AR development,vrard,5
13,Web development coding,wdc,VR/AR development,vrard,5
14,Web development coding,wdc,VR/AR development,vrard,5
15,Web development coding,wdc,VR/AR development,vrard,5
16,Software & app development,sad,VR/AR development,vrard,5
17,Software & app development,sad,VR/AR development,vrard,5
18,Software & app development,sad,VR/AR development,vrard,5
19,Software & app development,sad,VR/AR development,vrard,5
20,Software & app development,sad,VR/AR development,vrard,5
21,VR/AR development,vrard,VR/AR development,vrard,5
22,VR/AR development,vrard,VR/AR development,vrard,5
23,VR/AR development,vrard,Visual design concepts,vdc,5
24,VR/AR development,vrard,Visual design concepts,vdc,5
25,VR/AR development,vrard,Visual design concepts,vdc,5
26,Visual design concepts,vdc,Visual design concepts,vdc,5
27,Visual design concepts,vdc,Physical Computing,pc,5
28,Visual design concepts,vdc,Physical Computing,pc,5
29,Visual design concepts,vdc,Motion Graphics,mg,5
30,Visual design concepts,vdc,Motion Graphics,mg,5
31,Visual design concepts,vdc,Blockchain technology,bt,5
32,Visual design concepts,vdc,Blockchain technology,bt,5
33,Visual design concepts,vdc,Blockchain technology,bt,5
34,Motion Graphics,mg,Blockchain technology,bt,5
35,Blockchain technology,bt,Blockchain technology,bt,5
36,Blockchain technology,bt,Blockchain technology,bt,5
37,Blockchain technology,bt,Blockchain technology,bt,5
38,Blockchain technology,bt,Blockchain technology,bt,5
39,Blockchain technology,bt,Blockchain technology,bt,5
40,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
41,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
42,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
43,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
44,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
45,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
46,Business skills & project mgmt,bspm,Business skills & project mgmt,bspm,5
47,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
48,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
49,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
50,Data mgmt & data visualizations,dataviz,Data mgmt & data visualizations,dataviz,5
51,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
52,Data mgmt & data visualizations,dataviz,AI & machine learning,aiml,5
53,AI & machine learning,aiml,AI & machine learning,aiml,5
54,AI & machine learning,aiml,AI & machine learning,aiml,5
55,AI & machine learning,aiml,AI & machine learning,aiml,5
56,AI & machine learning,aiml,AI & machine learning,aiml,5
57,AI & machine learning,aiml,AI & machine learning,aiml,5
58,AI & machine learning,aiml,AI & machine learning,aiml,5
59,AI & machine learning,aiml,AI & machine learning,aiml,5
60,AI & machine learning,aiml,AI & machine learning,aiml,5
61,AI & machine learning,aiml,AI & machine learning,aiml,5
62,AI & machine learning,aiml,AI & machine learning,aiml,5
63,AI & machine learning,aiml,AI & machine learning,aiml,5
64,AI & machine learning,aiml,AI & machine learning,aiml,5
65,AI & machine learning,aiml,AI & machine learning,aiml,5
66,AI & machine learning,aiml,AI & machine learning,aiml,5
67,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
68,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
69,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
70,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
71,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
72,AI & machine learning,aiml,Storytelling &/or game design,sgd,5
73,Storytelling &/or game design,sgd,Storytelling &/or game design,sgd,5
74,Principles of Design,pd,Storytelling &/or game design,sgd,5
75,Principles of Design,pd,Storytelling &/or game design,sgd,5
76,Principles of Design,pd,Principles of Design,pd,5
77,Principles of Design,pd,Principles of Design,pd,5
78,Web development coding,wdc,Web development coding,wdc,5
79,Web development coding,wdc,Web development coding,wdc,5
80,Web development coding,wdc,Web development coding,wdc,5
81,Web development coding,wdc,Software & app development,sad,5
82,Web development coding,wdc,Software & app development,sad,5
83,Web development coding,wdc,Software & app development,sad,5
84,Web development coding,wdc,VR/AR development,vrard,5
85,Web development coding,wdc,VR/AR development,vrard,5
86,Web development coding,wdc,VR/AR development,vrard,5
87,Web development coding,wdc,VR/AR development,vrard,5
88,Web development coding,wdc,VR/AR development,vrard,5
89,Web development coding,wdc,VR/AR development,vrard,5
90,Web development coding,wdc,VR/AR development,vrard,5
91,Web development coding,wdc,VR/AR development,vrard,5
92,Web development coding,wdc,VR/AR development,vrard,5
93,Web development coding,wdc,VR/AR development,vrard,5
94,Software & app development,sad,VR/AR development,vrard,5
95,Software & app development,sad,VR/AR development,vrard,5
96,Software & app development,sad,VR/AR development,vrard,5
97,Software & app development,sad,VR/AR development,vrard,5
98,Software & app development,sad,VR/AR development,vrard,5
99,VR/AR development,vrard,VR/AR development,vrard,5
100,VR/AR development,vrard,VR/AR development,vrard,5
101,VR/AR development,vrard,Visual design concepts,vdc,5
102,VR/AR development,vrard,Visual design concepts,vdc,5
103,VR/AR development,vrard,Visual design concepts,vdc,5
104,Visual design concepts,vdc,Visual design concepts,vdc,5
